,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
4142,2021-04-15,rolineston,Países con su propia vacuna: - China: Sinovac. - Reino Unido: AstraZeneca. - EE. UU.: Moderna. - Bélgica: Janssen. - Alemania: Pfizer. - Colombia: Reforma tributaria.,124,3735,12692,https://twitter.com/Rolineston/status/1382771777177317378,5517.0
7199,2021-04-12,hernanpanessi,"Un datito: la Sinopharm, la vacuna china que compró la República Argentina, tiene 79% de eficacia. Coronavac, la que mencionan los medios y nuestro país no compró, tiene 50,4%. Paremos la mano con las fake news y la mala leche. Generan confusión, dolor y más angustia.",115,3301,11414,https://twitter.com/hernanpanessi/status/1381630921917526020,4943.333333333333
113351,2021-04-10,kyupotter,Mi novio opina que han perdido la oportunidad de llamar a la vacuna rusa Vakunin,23,1065,10811,https://twitter.com/KyuPotter/status/1380801862480371714,3966.3333333333335
7524,2021-04-12,marcelopuella,"- ¿Cuál es la vacuna China que tiene problemas? La Sinovac. - ¿Qué países la compraron? Chile y Brasil. - ¿Qué vacuna compró Argentina? La Sinopharm. - ¿Cómo titula Clarín? ""Las vacunas chinas"", sin aclarar nada.  Como siempre, el gran daño argentino, experto en desinformar.  https://t.co/0D0maMzfsy",162,2012,3920,https://twitter.com/marcelopuella/status/1381598848120934405,2031.3333333333333
4326,2021-04-15,santoroleandro,La vacuna china q protege poco es la q compró chile. Las clases presenciales se suspendieron primero en Uruguay. El toque de queda arrancó en Perú. Los bares estan restringidos en Colombia.  JxC debe pensar que la influencia del populismo en América Latina es imparable. 🤦,104,1134,4622,https://twitter.com/SantoroLeandro/status/1382550826200264707,1953.3333333333333
8688,2021-04-11,el_anestesiador,Me imagino que despues del papelon de la vacuna china la ministra @carlavizzotti renunciará a su cargo y será puesta a disposición de la justicia?,162,1143,3036,https://twitter.com/el_anestesiador/status/1381397450594865152,1447.0
3730,2021-04-16,doctormacias,"Es falso que la vacuna China Sinovac de coronavirus sea ineficaz. De acuerdo con datos del ministerio de salud de Chile, la eficacia para evitar enfermedad supera el 60% y el 80% para evitar la muerte.  https://t.co/vqjKCuAdyD",86,1011,3194,https://twitter.com/doctormacias/status/1383125197851545602,1430.3333333333333
7634,2021-04-12,nicolasfioren,"La vacuna china que se aplica en la Argentina es la Sinopharm: efectividad superior al 79%.   La vacuna china que se aplica en Chile, la Sinovac, es la que tiene baja efectividad: 3% ante contagios con una dosis.  Y así funciona una campaña grotesca de desinformación 👇🏻  https://t.co/cNATwq6mY4",74,1142,2700,https://twitter.com/NicolasFioren/status/1381589793138733058,1305.3333333333333
3516,2021-04-17,tolaymaruja,De @Rolineston  Países con su propia vacuna: - China: Sinovac. - Reino Unido: AstraZeneca. - EE. UU.: Moderna. - Bélgica: Janssen. - Alemania: Pfizer. - Colombia: Reforma tributaria.,53,968,2759,https://twitter.com/Tolaymaruja/status/1383274273767182336,1260.0
7427,2021-04-12,rialjorge,"No es LA vacuna China la que tiene problemas de eficacia. Es la Sinovac la de baja eficiencia, la que se está aplicando en Chile. En nuestro país se usa la de Sinopharm. Generalizar es desinformar.Y es de hijo de puta meter miedo. Punto.",172,581,2474,https://twitter.com/rialjorge/status/1381608329156435968,1075.6666666666667
