,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
243787,2021-01-04,levyrincon,O sea que Duque se gastó la plata para el manejo de la pandemia en un programa de televisión y no en las vacunas para prevenir el contagio. ¡Jajajajajajajaja! ¡Qué gonorrea! No falta el uribista que salga a decir que es mejor el programa que la vacuna rusa. ¡Malparidos idiotas!,108,2237,8595,https://twitter.com/LevyRincon/status/1346157330228981761,3646.6666666666665
231569,2021-01-14,earisteguieta,"Ordenar la aplicación de la vacuna rusa en Vzla., después de conocer sus resultados en Argentina, es sencillamente criminal.",225,2961,5703,https://twitter.com/EAristeguieta/status/1349557940089454592,2963.0
237038,2021-01-11,maxargam,"LCDLL!!!! Estoy muy caliente, como inmunólogo tengo que escribir en contra de la improvisación de este gobierno de mierda con la vacuna rusa. Lo que más bronca me da es el silencio de mis colegas y el hecho de parecer un antivacuna, cosa que combato a diario.",167,1974,6683,https://twitter.com/maxargam/status/1348619434471120896,2941.3333333333335
236194,2021-01-11,madorni,"Ibamos a disponer de 20M de dosis de la vacuna rusa para 10M de personas (2 dosis por C/U). Ahora vamos a “redistribuir” y vacunaremos el doble: una dosis por C/U y listo. Así vacunaremos 20M. Tendríamos que aplicar 0,44 dosis a C/U y podremos vacunar a todos. Argentina de pie.",208,1198,7140,https://twitter.com/madorni/status/1348705772541239296,2848.6666666666665
236477,2021-01-11,andahazi,Argentina sin vacunas: el gobierno reconoce que es difícil que consiga la segunda dosis y evalúa aplicar solo la primera de la vacuna rusa. No tuvieron plan para manejar la pandemia y ahora no tienen plan de vacunación.,398,1959,5027,https://twitter.com/andahazi/status/1348676685214978048,2461.3333333333335
236578,2021-01-11,ezequielcampa,Cocaína que trajo un señor desde Colombia en un preservativo que se metió en el ano.  SI  Vacuna rusa.  NO,54,695,4906,https://twitter.com/EzequielCampa/status/1348672239470784518,1885.0
66539,2021-01-06,rmapalacios,"¿No te gusta la vacuna china? Que buena noticia. Cómo decimos en las familias numerosas: ""comerenos menos, comeremos más"". Así llegará más rápido a todos los que quieren volver a abrazarse con tranquilidad.",162,516,4953,https://twitter.com/rmapalacios/status/1346919816255451147,1877.0
235570,2021-01-11,ernestorr,De los creadores de la cuarentena no sirve y no se hizo bien llega la vacuna rusa es mala y no nos quieren dar las dos dosis.,127,1023,4412,https://twitter.com/ernestorr/status/1348786384069406727,1854.0
234102,2021-01-12,diegowainstein,"La jugada de Vizzotti fue un gambito de dama. La oposición que grita por cualquier cosa, salió a gritar que quiere que la vacuna rusa, se aplique en dos dosis y no en una (Cosa que nunca iba a pasar) Ahora, no hay mas oposición a la vacuna rusa y hay apoyo tácito a lo que viene.",369,685,4009,https://twitter.com/diegowainstein/status/1349026805248876545,1687.6666666666667
63384,2021-01-11,jgnaredo,"Un diario de circulación nacional llamado @Reforma propaga hoy fake news (lo disfraz de ""rumor"") donde se menciona que @lopezobrador_ se ""vacunó"" desde el año pasado con ""vacuna china"" y que ""por eso ni se preocupa"" del Covid-19.  Los de Reforma han perdido toda decencia, toda.",192,1249,3261,https://twitter.com/jgnaredo/status/1348710778598273025,1567.3333333333333
241834,2021-01-06,earisteguieta,Los resultados de la vacuna rusa en Argentina fueron negativos. Con razón Putin no se la puso.,51,1501,3066,https://twitter.com/EAristeguieta/status/1346702079801389056,1539.3333333333333
239191,2021-01-08,rcachanosky,Cafiero repitió como 6 veces estamos en un momento bisagra. ¿Qué bisagra si lo único que tenemos es la vacuna rusa que nadie sabe si sirve y no alcanza para todos?,201,761,3044,https://twitter.com/RCachanosky/status/1347571811886764034,1335.3333333333333
246893,2021-01-02,lucas_dejesus86,"Hola, soy Lucas, el martes pasado me puse la vacuna rusa Sputnik v y me aparecieron unas extrañas marcas en los brazos y espalda, por favor rt para que se sepa la verdat  https://t.co/vZom27KVNI",70,984,2884,https://twitter.com/lucas_dejesus86/status/1345417756225789952,1312.6666666666667
243562,2021-01-04,spitta1969,Han sacado a pasear a todos los perritos falderos del establishment científico para tacar a los pocos que estamos diciendo que lo de la vacuna rusa es todo trucho. Ya me di cuenta.,69,879,2896,https://twitter.com/spitta1969/status/1346207178487705606,1281.3333333333333
62572,2021-01-13,doctormacias,"Nuevos datos de Brasil muestran que CoronaVac tiene solo una eficacia del 50,4% contra covid-19.  Se suponía que esta vacuna china de Sinovac, era 78% eficaz contra casos ""leves a graves"". Al parecer, esos datos no revelaban un grupo de infecciones más leves. The Economist.",48,846,2873,https://twitter.com/doctormacias/status/1349319866700935169,1255.6666666666667
234333,2021-01-12,profetaargen,Se oponen a la vacuna rusa pero se enojan porque no hay vacunas rusas y cuando anuncian que se compraron más vacunas rusas se enojan por cómo las dan? Jdkj vayan a terapia,5,328,3184,https://twitter.com/ProfetaArgen/status/1349011580684525570,1172.3333333333333
236035,2021-01-11,nicoolsze,Mi boludo favorito es el que se queja al mismo tiempo de que la vacuna rusa es mala y de que no hay dosis suficientes.,24,318,3139,https://twitter.com/NicoOlsze/status/1348725135948324865,1160.3333333333333
234090,2021-01-12,hanalfabeto,El próximo jueves partirá otro vuelo a Moscú a buscar la segunda dosis de la vacuna rusa.  La azafata ya empezó a llorar.,110,581,2759,https://twitter.com/hanalfabeto/status/1349027852042326016,1150.0
67100,2021-01-06,contracultural,"Forsyth: ""Yo sé de la vacuna china porque me gusta mucho al chifa jaja un kam lu por favor""",43,329,2995,https://twitter.com/contracultural/status/1346889369089662984,1122.3333333333333
228702,2021-01-15,gabrielhpereyra,Aluden a un capo como Borbonet por su filiación política. Siguen vinculando la vacuna rusa al FA cuando Putin es de derecha. Lo primero es pensar en que son unos ratones. Yo creo que son el producto de décadas de una educación mediocre. Dan más pena que otra cosa. Y va para peor.,127,403,2519,https://twitter.com/Gabrielhpereyra/status/1350272699994693633,1016.3333333333334
232584,2021-01-13,berlich,"Para favorecer la confianza en la vacuna rusa, el papa se vacunó con la Pfiizer.",47,526,2468,https://twitter.com/berlich/status/1349359671774208000,1013.6666666666666
234889,2021-01-12,hanalfabeto,"El presidente dijo que no van a poder aplicar 20.000.000 de dosis de la vacuna rusa antes de marzo.  Sí, igual ya lo suponíamos pero siempre es bueno tener la confirmación oficial. 🙄",48,453,2428,https://twitter.com/hanalfabeto/status/1348960358950690816,976.3333333333334
229927,2021-01-15,todonoticias,"Elisa Carrió: “Jamás me pondría la vacuna rusa, es un negocio de Cristina Kirchner y los rusos”   https://t.co/PpVoX8xOqS",347,453,2041,https://twitter.com/todonoticias/status/1349923927934472194,947.0
